Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1964,0.22,122.75,136.36,85.02,48.58,33.02,46.45,88.0,236.58,134.86,67.11,4.61,86.82,72.96,93.36,89.5,175.27,37.99,78.56,12.43,44.81,32.91,102.11,151.25,8.34,104.36,60.8,20.81,71.07,48.29,17.68,29.49,60.78,129.3,1.65,44.01,42.21,131.56,39.98,106.39,160.6,38.04,62.28,25.49,6.73,45.39,46.4,10.4
1965,0.01,132.9,148.4,71.56,43.04,22.02,50.76,92.0,237.22,139.38,61.57,6.08,88.6,76.59,93.7,106.62,192.89,36.54,84.03,19.17,29.75,23.73,109.62,154.82,6.49,107.49,52.65,19.25,72.36,42.43,15.5,29.89,62.16,136.3,3.77,43.12,53.53,134.64,29.31,114.92,168.18,22.23,71.02,27.64,14.52,28.64,48.8,5.17
1966,0.15,127.1,124.86,86.72,51.46,33.21,51.75,100.0,215.47,128.04,53.67,5.61,69.03,62.32,80.37,87.33,173.45,36.87,82.06,13.62,38.51,33.86,78.84,148.44,9.12,93.26,58.47,17.6,70.37,46.83,21.12,26.17,55.93,118.31,1.02,42.51,46.75,126.8,42.91,97.01,155.93,42.89,51.95,23.1,7.57,38.81,41.51,12.7
1967,0.87,130.44,130.54,79.88,57.62,19.01,57.16,84.0,233.5,110.1,53.68,9.22,70.01,58.38,74.09,82.2,176.27,51.71,78.24,22.56,30.36,21.29,80.81,135.42,5.66,79.54,41.0,27.74,71.06,41.8,21.91,34.21,48.25,126.62,4.03,42.92,59.63,108.46,22.06,93.05,161.93,41.23,47.88,33.28,14.73,29.37,41.4,2.82
1968,0.56,119.21,124.38,71.93,50.17,22.69,51.68,91.0,213.92,125.54,62.4,5.85,77.93,74.34,81.46,86.7,170.32,42.33,83.5,5.26,43.15,28.85,85.75,133.86,5.21,92.81,52.58,17.48,70.69,42.02,20.21,29.89,63.29,112.61,3.95,48.95,49.13,120.65,28.51,95.63,151.01,33.66,57.48,25.29,12.8,41.56,52.34,3.92
1969,0.35,122.75,132.35,85.15,54.61,33.35,60.9,103.0,217.94,127.46,62.38,5.12,83.17,71.44,91.08,94.64,171.89,52.8,95.03,21.13,44.41,27.49,95.67,140.07,7.05,100.26,59.42,29.54,86.28,48.47,23.08,38.93,61.4,127.61,2.54,54.36,62.55,124.23,36.73,102.88,148.49,41.56,67.24,40.32,9.92,34.53,57.21,7.03
1970,0.09,131.91,138.68,83.53,50.66,34.95,61.69,108.0,224.75,141.7,75.16,10.21,93.42,84.19,91.06,107.92,176.35,50.63,98.46,16.44,52.76,38.9,103.4,149.45,10.51,109.69,63.74,25.41,84.73,45.86,20.34,34.43,73.02,126.84,4.73,56.36,63.5,137.02,41.82,114.11,149.45,41.05,71.84,33.14,12.42,47.86,60.13,9.34
1971,1.03,132.74,137.75,80.57,52.34,25.79,62.07,105.0,225.87,147.52,66.64,9.1,84.32,74.36,87.27,104.89,179.24,50.49,100.76,15.89,39.73,27.66,97.81,148.96,10.96,115.28,55.82,21.87,85.4,36.13,27.16,35.13,62.53,127.16,6.51,50.74,70.23,138.11,36.06,111.59,160.43,36.95,74.72,33.09,12.0,37.72,62.12,5.94
1972,0.58,119.58,138.92,90.2,54.82,29.6,51.31,98.0,241.15,124.8,65.17,6.3,81.83,70.14,88.6,89.75,178.08,43.69,90.5,13.41,34.7,29.12,91.91,143.88,7.39,86.71,51.76,20.13,73.9,41.35,23.97,33.46,54.38,134.93,4.53,42.32,54.96,115.18,34.23,103.84,161.01,31.02,58.28,31.05,9.49,33.7,54.96,3.24
1973,0.09,135.5,145.32,79.41,52.53,25.92,64.32,108.0,220.12,132.94,74.19,6.94,97.0,89.76,87.0,112.58,185.69,64.27,99.91,33.61,52.28,36.41,99.92,159.3,7.79,112.52,56.95,40.81,89.89,30.31,22.31,46.11,76.83,122.92,3.38,61.06,71.09,138.0,35.03,113.86,154.87,33.33,72.67,46.09,11.62,45.46,61.66,5.68
1974,0.91,112.41,133.58,89.06,56.84,26.99,49.88,91.0,224.89,125.9,52.5,5.54,74.1,71.03,73.02,83.13,187.34,42.8,87.32,9.18,33.4,28.03,84.45,143.87,7.49,97.69,47.36,17.97,72.95,40.81,22.45,24.71,53.19,117.77,4.56,32.99,54.77,133.79,32.23,96.01,150.14,36.51,55.66,30.42,7.4,27.41,49.57,7.26
1975,1.01,129.16,135.4,72.68,49.36,25.2,61.32,109.0,240.53,146.07,67.53,7.77,84.27,85.46,86.6,92.56,189.06,56.0,101.67,26.17,45.21,34.14,100.12,155.52,8.7,106.89,59.0,35.27,83.4,31.92,19.66,36.59,70.57,121.23,3.17,52.56,62.26,144.33,41.93,111.55,150.89,30.05,68.13,51.13,10.0,45.38,62.23,5.53
1976,0.2,92.53,113.97,80.19,53.54,20.27,58.53,98.0,205.66,117.84,54.47,5.88,60.66,54.83,78.03,62.99,155.29,53.92,85.24,18.9,31.45,31.16,79.28,124.35,8.91,86.05,54.54,23.77,75.02,38.96,19.33,30.66,45.44,117.92,2.24,36.41,60.59,112.58,42.38,73.28,140.04,33.5,50.16,36.02,5.88,31.61,36.02,6.81
1977,0.36,132.4,155.3,93.1,54.11,34.15,58.19,103.0,206.78,143.18,70.03,10.52,89.64,92.3,103.35,114.07,180.83,50.39,96.87,14.78,37.55,27.16,109.56,153.29,8.3,112.13,68.42,23.24,80.09,52.23,24.73,35.77,71.61,142.99,5.56,55.18,57.92,131.78,34.23,118.28,166.08,41.41,71.22,36.31,12.44,37.76,60.51,9.08
1978,0.27,126.81,132.93,88.46,56.61,27.28,50.33,82.0,210.09,137.77,72.27,4.37,83.09,76.8,89.68,96.93,174.8,44.57,89.24,13.75,39.38,37.3,98.29,146.01,5.06,93.81,60.95,24.4,64.37,45.71,21.61,34.04,65.79,135.84,3.5,46.66,51.95,131.82,39.7,110.35,161.87,32.48,69.68,37.88,5.4,43.42,64.79,5.24
1979,0.06,116.11,123.78,83.65,52.95,26.0,60.97,91.0,219.96,134.6,63.4,7.0,75.52,75.75,82.38,88.51,171.9,49.73,88.3,19.02,33.51,27.11,83.88,143.69,6.61,91.16,55.73,28.94,78.98,35.6,21.77,34.4,65.5,124.46,2.8,48.68,60.78,132.46,33.78,104.01,146.9,34.24,63.31,40.22,5.29,35.18,55.87,5.25
1980,0.01,113.69,132.59,87.16,48.25,34.53,59.18,103.0,216.14,134.72,70.69,2.95,87.41,86.99,95.75,98.62,172.59,48.53,92.22,21.51,43.6,31.89,96.35,143.15,6.25,98.72,65.79,22.08,80.71,45.09,20.87,37.19,70.91,127.39,1.72,50.77,62.02,130.05,35.82,109.35,149.28,31.12,72.71,34.67,5.3,39.02,61.06,6.13
1981,0.01,109.9,134.07,99.24,59.52,33.64,56.13,94.0,208.98,120.49,62.74,4.37,78.75,80.87,91.44,91.36,177.48,46.71,85.81,14.66,38.66,33.38,96.3,142.78,6.67,91.88,56.54,24.99,80.61,42.06,25.4,36.3,65.03,135.39,3.81,53.61,52.09,119.37,34.2,106.72,161.85,44.16,65.99,35.91,8.24,36.02,46.68,7.71
1982,0.43,118.46,142.5,86.76,50.74,29.34,41.15,88.0,243.96,127.27,63.28,6.08,73.49,71.9,84.47,85.68,190.63,32.5,80.47,4.54,28.77,28.12,93.12,159.31,7.04,97.92,56.6,14.38,61.48,48.81,24.03,25.27,56.12,130.31,4.65,32.04,49.14,135.72,35.75,109.59,159.08,37.71,62.28,20.06,5.38,31.9,48.07,7.74
1983,1.16,113.07,123.73,91.05,58.7,36.79,57.03,107.0,211.51,119.54,79.29,7.23,83.13,82.22,90.74,93.7,157.54,54.38,90.15,15.0,47.88,52.1,93.2,131.62,15.76,88.68,72.56,26.19,79.64,45.21,21.05,38.79,67.75,123.0,4.76,48.76,71.67,118.04,56.09,102.87,145.7,42.95,58.91,39.78,6.68,52.59,50.18,15.42
1984,0.89,132.0,129.58,96.27,65.18,30.29,55.47,107.0,223.81,129.88,61.43,9.79,77.51,78.19,87.26,90.69,190.57,51.94,87.58,20.79,36.8,34.5,90.92,146.81,11.8,95.53,58.97,30.36,83.73,43.78,24.57,37.52,60.76,109.17,3.15,36.88,65.55,130.28,42.11,103.22,159.38,41.1,67.13,42.79,8.94,37.49,58.34,9.76
1985,0.06,146.54,140.42,90.67,53.1,24.15,46.02,110.0,234.33,149.03,54.41,9.53,71.87,75.87,84.11,99.2,196.62,39.84,88.2,7.89,31.2,23.15,94.98,154.57,9.18,104.64,54.26,15.94,82.25,42.68,23.83,29.8,55.47,124.31,1.83,29.07,54.25,139.83,26.35,115.63,170.12,36.65,58.34,26.64,8.17,30.86,51.13,7.35
1986,0.27,142.69,143.7,83.73,49.69,27.56,52.82,113.0,241.12,146.09,70.08,8.15,86.24,90.7,103.61,105.6,185.51,42.73,99.03,14.15,32.83,30.15,104.68,152.02,6.21,110.56,58.1,23.59,84.71,42.77,23.62,33.46,75.22,140.07,5.68,49.72,52.34,151.66,32.35,124.62,165.03,37.17,75.69,29.97,13.14,33.36,67.3,4.54
1987,1.07,117.86,131.4,81.95,54.34,25.32,50.63,113.0,212.6,133.67,77.18,7.17,87.14,93.79,89.36,106.02,159.14,43.17,93.48,14.75,50.55,39.55,92.65,134.92,7.18,108.21,59.47,24.4,78.87,37.91,20.64,42.13,78.84,129.53,2.94,52.18,55.58,134.34,40.89,113.59,143.09,33.78,79.45,37.64,10.31,53.91,60.37,7.88
1988,0.93,108.11,116.56,87.26,59.85,37.98,59.94,93.0,203.23,108.87,70.95,10.3,73.75,74.58,90.19,83.28,164.29,51.3,81.7,35.54,42.09,43.3,81.99,126.48,17.46,86.99,62.16,34.93,75.08,39.1,28.35,41.21,61.94,108.7,2.58,43.12,57.72,114.32,55.01,94.4,147.65,44.25,62.53,39.52,11.11,48.44,51.16,18.36
1989,0.72,127.37,125.24,82.9,52.46,25.15,65.72,113.0,231.72,133.46,62.95,8.88,72.65,83.05,85.8,96.49,173.72,47.99,102.56,15.65,35.29,34.67,88.39,136.77,8.13,108.06,59.38,25.54,77.81,46.0,25.46,40.63,63.77,122.84,2.61,41.82,59.06,137.14,42.76,110.77,154.34,40.07,77.14,32.61,9.13,37.01,66.16,9.94
1990,1.02,118.97,136.5,84.66,60.16,25.96,63.89,117.0,243.29,132.14,76.99,13.78,82.11,81.86,95.71,91.19,180.33,57.6,97.01,29.29,36.29,38.69,100.13,144.84,7.81,97.72,61.0,34.68,85.3,52.05,25.55,43.8,61.56,132.92,7.0,45.51,72.18,136.58,42.16,110.24,164.48,42.7,66.83,36.87,19.11,41.11,52.46,9.11
1991,0.94,145.78,154.19,76.08,59.2,26.32,70.17,122.0,250.27,153.97,87.03,9.59,103.1,108.02,105.54,119.95,189.72,49.58,103.85,17.04,48.44,50.76,111.9,164.16,10.87,119.29,72.44,22.63,88.59,48.15,22.47,45.9,83.23,133.61,4.42,50.38,67.37,148.18,51.5,136.46,163.74,37.65,80.44,32.84,11.51,58.27,64.88,9.51
1992,0.22,109.27,119.47,77.14,65.9,14.88,44.14,92.0,218.01,124.77,42.03,13.48,63.28,62.8,69.81,80.46,162.2,30.24,77.35,9.73,17.87,16.05,77.95,129.23,3.74,95.77,33.57,17.59,70.69,34.5,24.92,28.85,48.32,108.16,8.04,33.7,47.99,124.94,13.06,99.31,151.42,33.63,62.7,24.45,16.2,20.19,37.3,3.47
1993,1.12,124.39,124.94,75.76,50.28,21.82,65.7,110.0,219.81,134.54,65.72,2.44,82.11,79.5,76.68,89.61,163.67,47.41,91.25,20.78,41.01,31.85,89.87,136.38,1.71,109.85,53.2,25.57,82.21,41.01,19.58,38.13,62.66,118.7,1.93,45.64,65.7,134.08,25.03,106.41,144.58,32.36,61.11,33.45,7.76,38.31,46.9,1.74
1994,1.71,123.58,127.95,83.2,54.87,24.86,68.81,91.0,255.87,136.94,58.62,11.91,66.06,69.54,88.53,81.14,179.43,55.11,86.91,30.4,35.88,31.47,87.11,142.07,8.82,97.11,58.49,34.46,79.96,47.44,27.33,40.63,55.88,132.23,3.46,48.91,67.74,127.85,33.38,101.88,161.43,51.68,57.71,43.19,14.56,38.79,48.62,7.78
1995,0.95,128.48,132.62,67.46,51.28,23.43,53.27,118.0,232.05,141.29,71.81,6.07,82.58,87.58,81.85,100.8,174.9,47.04,101.87,22.68,49.95,47.16,93.64,143.96,7.59,108.19,59.5,23.44,80.65,42.95,18.46,44.83,70.5,116.3,5.32,54.72,59.2,141.08,45.83,114.18,147.39,30.22,70.6,32.35,11.91,59.12,60.36,7.4
1996,0.21,128.34,137.88,84.8,62.72,30.22,62.45,106.0,223.09,136.25,57.4,9.08,67.97,73.74,87.29,93.05,182.83,52.08,90.84,17.73,29.18,29.75,92.13,149.08,8.76,102.87,57.61,23.68,80.66,54.56,29.08,37.6,56.58,133.54,5.78,46.56,69.13,130.1,34.12,118.17,165.1,40.94,61.38,30.71,10.7,30.36,42.72,6.19
1997,1.17,114.67,118.91,85.35,69.82,26.91,52.95,100.0,237.89,130.23,59.9,7.24,66.4,70.46,85.34,77.79,165.63,41.35,74.2,15.22,29.49,35.84,88.32,133.77,8.41,84.72,60.59,17.51,64.35,50.4,24.29,26.95,48.02,123.38,4.57,31.39,54.2,114.35,41.02,99.07,155.2,38.04,48.67,19.93,18.03,32.8,33.83,8.03
1998,0.63,139.37,151.17,75.82,55.75,30.92,67.45,114.0,251.83,149.01,81.31,16.04,97.65,91.72,103.18,110.44,188.27,53.89,98.76,21.1,47.62,45.14,123.19,160.04,12.83,111.6,75.04,29.07,81.61,48.46,26.48,43.45,68.45,124.24,6.48,52.83,72.18,138.82,47.53,130.94,171.22,41.94,72.99,35.0,22.83,48.93,46.21,11.52
1999,0.71,128.63,124.19,81.02,46.31,30.42,60.45,103.0,229.45,128.04,60.3,9.73,70.41,74.81,82.82,85.4,173.7,55.62,91.75,32.7,45.29,42.63,90.97,144.59,6.36,90.96,59.43,31.23,80.33,47.55,21.3,41.33,60.85,108.7,3.26,49.11,66.03,118.61,38.48,102.62,161.17,43.23,55.24,37.64,15.01,47.9,43.09,7.94
2000,0.1,124.69,133.11,91.74,55.86,31.18,51.9,105.0,209.58,120.68,67.93,9.03,79.54,78.54,96.63,96.04,177.38,45.01,90.8,13.24,42.21,37.36,102.9,145.38,10.61,99.28,66.56,21.66,76.94,56.22,24.61,34.44,61.7,132.08,3.67,39.26,61.59,122.14,40.74,115.49,166.89,53.73,65.97,27.02,12.17,42.84,47.34,12.49
2001,0.33,124.72,129.05,90.57,68.39,31.79,60.06,108.0,238.45,124.55,58.31,11.99,77.54,83.03,92.58,96.32,173.35,54.97,80.81,26.7,41.47,40.65,104.04,146.57,11.16,97.48,63.81,20.2,77.43,47.64,28.93,32.22,62.53,134.54,3.12,41.58,70.18,127.57,50.13,108.27,160.07,50.53,51.77,27.87,6.27,43.18,47.4,16.29
2002,0.16,148.44,139.24,90.21,59.7,31.93,60.31,128.0,243.62,160.28,72.8,11.94,93.94,98.0,97.0,118.02,187.42,57.0,101.55,24.92,50.85,50.53,106.63,162.39,11.61,115.28,72.96,30.96,85.95,51.18,27.86,39.79,76.05,125.23,5.21,55.45,66.84,142.16,52.24,131.45,157.83,50.06,68.16,32.6,16.2,53.72,58.55,12.49
2003,1.15,122.6,125.91,94.56,66.23,33.71,61.29,108.0,242.26,133.64,51.16,17.58,68.79,73.67,78.24,87.76,171.92,52.62,94.48,29.66,29.45,35.0,84.83,145.84,17.07,98.74,57.84,30.93,83.91,48.32,34.65,36.81,58.74,116.7,6.61,52.63,64.5,121.71,40.05,102.35,157.77,59.71,67.23,36.11,17.66,36.21,51.8,16.74
2004,1.57,142.09,139.6,82.72,55.21,18.41,64.97,125.0,218.4,146.21,51.16,12.75,70.78,77.4,78.45,100.47,194.3,47.06,108.86,16.99,29.21,23.66,90.18,156.42,8.08,117.29,45.91,27.48,95.73,39.46,30.12,34.95,56.99,134.24,8.69,55.51,56.82,143.54,26.32,123.92,171.64,42.3,70.58,33.41,24.16,31.02,52.45,5.6
2005,0.11,126.03,134.87,88.11,50.22,24.82,76.87,117.0,216.83,136.73,73.31,6.21,89.16,87.3,97.82,101.42,166.52,65.37,99.02,29.1,54.11,44.21,111.4,145.9,10.58,103.77,69.98,37.19,90.75,50.18,31.22,50.95,71.29,132.93,2.95,60.14,75.53,134.85,48.83,115.06,160.8,39.62,77.85,51.62,13.31,56.07,62.19,11.39
2006,0.09,123.71,127.69,89.95,59.9,31.52,68.78,119.0,222.07,136.84,65.43,13.8,77.7,73.85,91.64,91.15,175.64,57.45,93.14,30.68,39.14,40.2,97.57,145.34,14.12,98.65,62.77,31.12,80.71,45.2,34.22,40.06,59.72,124.77,6.7,51.21,67.61,126.1,49.02,110.6,160.1,45.37,58.5,38.64,17.8,42.37,43.49,15.03
2007,0.51,128.73,148.98,96.14,58.1,33.78,70.91,126.0,228.97,136.89,74.65,14.99,91.88,86.58,102.04,117.45,186.73,56.42,100.19,17.89,45.95,43.98,123.76,155.86,19.82,108.55,76.07,25.27,92.87,50.55,34.9,33.45,62.57,147.23,7.46,50.14,68.75,130.19,57.23,123.49,168.37,54.87,62.68,29.98,19.35,51.2,48.99,19.12
2008,0.22,124.04,127.03,85.38,59.76,24.87,70.53,112.0,221.36,127.9,52.94,7.23,69.17,69.01,82.42,86.79,174.13,60.43,87.23,26.99,34.12,25.81,95.05,144.86,7.24,95.7,50.7,27.6,86.13,47.33,25.17,33.71,52.71,121.54,4.66,44.79,68.32,122.74,37.79,102.46,152.69,48.86,53.04,32.84,15.25,34.34,37.52,8.64
2009,1.07,135.85,125.79,88.91,61.08,18.44,58.37,114.0,218.28,140.13,39.66,8.97,70.44,73.13,74.1,108.13,179.66,43.82,101.21,24.09,24.25,20.08,88.32,150.43,4.57,110.64,43.19,24.78,85.15,44.36,28.45,29.25,53.32,119.16,8.53,39.66,56.01,138.77,24.39,113.29,156.93,48.67,62.85,32.94,21.68,24.63,45.02,3.71
2010,0.65,133.44,134.24,98.33,51.39,33.06,81.98,124.0,205.7,135.4,77.54,5.78,95.79,99.3,98.72,117.87,164.94,67.83,109.32,34.05,61.07,47.41,110.11,145.3,7.41,123.28,69.95,33.72,99.08,54.86,31.06,50.74,85.94,124.16,3.71,59.21,75.15,141.22,46.16,121.0,156.19,49.74,78.58,44.36,11.93,59.51,65.6,9.01
2011,0.11,126.1,127.95,97.29,54.48,36.32,85.46,125.0,223.02,131.12,68.55,7.79,86.47,85.35,92.84,99.37,174.19,66.3,112.25,21.64,48.43,41.82,101.37,143.9,8.55,115.49,64.47,29.6,98.43,52.57,24.86,48.57,72.74,119.7,2.73,66.85,75.86,138.3,46.04,114.89,162.42,47.25,76.74,38.97,9.05,46.18,64.51,11.53
2012,0.04,127.87,142.86,105.78,66.31,36.62,78.92,117.0,246.02,145.51,68.62,15.33,84.51,81.39,88.73,91.49,207.65,67.86,107.18,29.13,47.45,45.97,105.95,145.18,15.37,104.78,65.05,32.27,100.46,51.63,35.43,50.72,67.7,134.16,5.05,63.94,74.53,137.79,49.68,111.29,177.19,61.58,72.03,36.85,14.32,51.82,58.8,20.36
2013,1.56,130.18,130.67,98.38,65.92,36.77,70.16,110.0,244.96,139.25,62.85,21.29,82.35,83.88,92.31,109.72,171.68,63.64,101.15,30.47,44.66,40.8,99.99,148.08,11.71,106.95,67.33,37.47,90.27,56.56,36.58,48.22,67.41,126.39,8.72,62.8,67.08,131.27,43.22,115.89,155.52,53.72,75.08,44.73,19.41,41.1,65.84,14.24
2014,0.46,130.95,132.45,99.92,74.35,26.58,61.63,108.0,222.0,148.0,61.26,13.83,74.57,74.86,87.93,96.81,168.61,51.25,92.89,23.49,33.55,37.13,95.95,142.54,8.94,109.11,52.31,23.27,79.74,54.51,35.78,34.24,60.48,134.93,13.2,47.12,59.4,137.59,36.49,108.04,157.29,45.9,70.34,28.94,19.52,38.77,56.47,6.96
2015,0.81,148.18,134.81,101.1,77.08,34.54,75.75,128.0,271.33,169.87,66.79,17.97,87.1,83.89,95.6,108.66,197.75,62.85,112.01,22.03,43.23,42.63,108.78,159.92,10.01,125.77,60.54,29.97,93.59,52.12,36.12,41.88,71.12,129.54,14.56,62.32,70.09,156.05,41.43,119.98,170.97,53.18,80.74,33.52,24.26,42.37,67.72,11.38
2016,1.53,135.05,134.79,99.62,66.17,34.84,80.72,131.0,242.76,140.28,76.37,8.4,100.12,98.83,96.8,114.91,202.15,67.43,115.09,25.77,55.91,44.09,118.92,154.95,7.11,118.85,65.64,32.18,93.76,48.62,28.8,49.41,82.13,134.93,5.56,64.59,75.39,144.78,43.8,123.43,169.79,51.58,90.24,37.69,12.76,53.85,71.14,11.17
2017,1.13,132.97,137.16,93.46,70.54,30.6,73.62,126.0,241.41,138.19,56.06,15.36,78.92,78.32,85.6,107.68,203.68,65.82,102.0,23.33,42.64,28.51,100.52,154.89,12.47,115.93,54.31,30.34,87.86,59.72,35.38,36.96,63.1,133.85,10.01,53.42,74.53,143.08,33.85,114.6,169.73,56.25,68.83,31.94,18.0,36.69,54.64,10.95
2018,1.07,149.82,152.35,98.14,66.89,37.81,84.82,142.0,254.78,155.76,83.34,8.28,108.07,112.1,108.37,142.91,200.54,76.12,127.81,32.06,56.66,57.01,130.27,167.58,8.0,141.47,72.59,46.97,102.48,58.8,38.2,61.42,103.63,147.16,7.7,86.09,82.64,156.76,49.47,145.89,169.81,66.2,107.56,47.28,14.1,58.43,99.98,8.69
2019,2.21,146.63,140.8,81.47,64.1,36.31,69.68,133.0,261.74,150.27,68.26,10.56,93.54,89.96,99.86,123.02,196.76,62.19,122.59,21.12,38.02,39.07,116.37,166.23,7.16,130.15,68.4,29.9,91.54,55.58,29.48,34.21,78.17,135.77,6.51,58.99,70.95,156.15,46.96,128.67,162.65,46.24,88.15,28.6,17.88,43.24,75.92,8.21
